epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.8268542,0.097312756,0.20418015,0.17350142,10.0,-2.5914702,0.06250000186264515,50.0,0.042499997
1,0.8286759,0.09452046,0.20600215,0.17119293,20.0,-4.7593164,0.012500000186264515,100.0,0.057500001043081284
2,0.8284233,0.094377376,0.20811817,0.17168799,30.0,-6.299494,0.05000000074505806,150.0,0.04749999847263098
3,0.82855505,0.100310765,0.21077716,0.17327683,40.0,-8.266377,0.02500000037252903,200.0,0.029999999329447746
4,0.8283226,0.099555455,0.2105018,0.17384323,50.0,-9.6790085,0.02500000037252903,250.0,0.032499998807907104
5,0.8282035,0.10189552,0.21121617,0.17578438,60.0,-11.277606,0.05000000074505806,300.0,0.024999999441206455
6,0.827696,0.12993915,0.2124592,0.18413427,70.0,-12.764853,0.02500000037252903,350.0,0.04499999759718776
7,0.8277459,0.13099533,0.21351077,0.18635231,80.0,-13.862915,0.07500000111758709,400.0,0.049999997
8,0.82749563,0.14436138,0.21371755,0.19117764,90.0,-14.98796,0.037500000558793545,450.0,0.065
9,0.82654476,0.14820401,0.21488208,0.1950681,100.0,-14.209529,0.06250000093132257,500.0,0.0625
10,0.8260997,0.15074159,0.21516602,0.19804367,110.0,-13.549459,0.12500000186264515,550.0,0.0925
11,0.8261068,0.1550055,0.21552268,0.20107335,120.0,-15.268556,0.1375000048428774,600.0,0.085
12,0.82623225,0.15839009,0.21642898,0.20252201,130.0,-15.324959,0.22500000894069672,650.0,0.1425
13,0.82602024,0.15941498,0.21675286,0.2043542,140.0,-15.978637,0.1875,700.0,0.1675
14,0.8263162,0.16031706,0.21707997,0.20538048,150.0,-13.722513,0.225,750.0,0.1675
15,0.8257889,0.16329147,0.2175869,0.2065699,160.0,-16.039673,0.25,800.0,0.16999999
16,0.82554084,0.16624294,0.218037,0.20773163,170.0,-15.942007,0.25,850.0,0.2475
17,0.82533044,0.1696165,0.21819791,0.20885956,180.0,-17.217773,0.275,900.0,0.2075
18,0.82552236,0.16891988,0.21801588,0.20962574,190.0,-15.14533,0.36250001192092896,950.0,0.1925
19,0.8250708,0.17231005,0.21827519,0.2110687,200.0,-13.478208,0.38750002,1000.0,0.24499999
20,0.8246246,0.17694926,0.21797761,0.2128238,210.0,-17.144852,0.28750002,1050.0,0.23249999
21,0.8244073,0.17863679,0.21799688,0.21368851,220.0,-15.441935,0.4,1100.0,0.2325
22,0.82438016,0.17951544,0.21807583,0.21436684,230.0,-13.274838,0.4375,1150.0,0.27
23,0.82424235,0.18047571,0.21819334,0.21527445,240.0,-17.842236,0.35000002,1200.0,0.2725
24,0.8240778,0.18121214,0.21836539,0.21592964,250.0,-14.51457,0.46250004,1250.0,0.26000002
25,0.8237991,0.1844422,0.21849339,0.21705347,260.0,-17.301264,0.35000002,1300.0,0.29500002
26,0.8236499,0.18409844,0.21844023,0.21761473,270.0,-14.301107,0.38750002,1350.0,0.305
27,0.8232756,0.18806463,0.21837348,0.21883026,280.0,-12.917044,0.51250005,1400.0,0.3075
28,0.823061,0.18947369,0.21805757,0.21964245,290.0,-14.738431,0.4375,1450.0,0.335
29,0.82288766,0.19115202,0.21788786,0.22035444,300.0,-14.364393,0.47500002,1500.0,0.305
30,0.8228136,0.19061767,0.21754968,0.22093567,310.0,-14.870302,0.4375,1550.0,0.305
31,0.8227566,0.18995102,0.21745357,0.22117981,320.0,-13.412918,0.5625,1600.0,0.305
32,0.82263035,0.1899672,0.21720214,0.22170603,330.0,-13.037479,0.5375,1650.0,0.2675
33,0.82220405,0.192518,0.21718453,0.2225109,340.0,-14.2141285,0.525,1700.0,0.2975
34,0.82215667,0.19193868,0.21726729,0.22285484,350.0,-12.950739,0.48750004,1750.0,0.3025
35,0.82191056,0.19158955,0.21704532,0.22332503,360.0,-14.345459,0.5125,1800.0,0.2575
36,0.82169646,0.19235583,0.21683256,0.22388062,370.0,-15.236618,0.5125,1850.0,0.3175
37,0.82166857,0.19182122,0.21670398,0.22423774,380.0,-14.445812,0.5125,1900.0,0.335
38,0.82158923,0.19142236,0.21650873,0.22452015,390.0,-15.055632,0.4875,1950.0,0.33499998
39,0.821289,0.19271691,0.21627842,0.2250914,400.0,-14.291602,0.5375,2000.0,0.3625
40,0.8212671,0.19256692,0.21646638,0.22542554,410.0,-13.854872,0.57500005,2050.0,0.32999998
41,0.8211296,0.19321243,0.21665819,0.22572087,420.0,-16.818249,0.4375,2100.0,0.325
42,0.8211749,0.19219817,0.2164906,0.22600296,430.0,-13.657898,0.57500005,2150.0,0.3725
43,0.8211498,0.19153859,0.21645124,0.22619566,440.0,-14.714973,0.5375,2200.0,0.3225
44,0.82105297,0.19193418,0.21657215,0.2264681,450.0,-16.381817,0.46250004,2250.0,0.315
45,0.8210657,0.19155388,0.21674347,0.22657216,460.0,-12.180374,0.6,2300.0,0.3425
46,0.82110065,0.19149746,0.21663147,0.22677892,470.0,-14.538351,0.5375,2350.0,0.34250003
47,0.82103133,0.19105087,0.21664108,0.2269558,480.0,-15.052015,0.525,2400.0,0.3375
48,0.82102257,0.19012515,0.21672823,0.22698723,490.0,-14.45817,0.55,2450.0,0.32999998
49,0.82093555,0.19164474,0.2167223,0.22730832,500.0,-14.495213,0.52500004,2500.0,0.3525
50,0.82079464,0.19124372,0.21680135,0.22740991,510.0,-15.129272,0.54999995,2550.0,0.32999998
51,0.8208944,0.19019602,0.21671078,0.22739832,520.0,-15.897476,0.5,2600.0,0.34750003
52,0.82083464,0.1901691,0.21661784,0.22742993,530.0,-17.867546,0.4375,2650.0,0.345
53,0.8207729,0.19010611,0.21652585,0.22744362,540.0,-14.244952,0.6,2700.0,0.3525
54,0.82082325,0.18937375,0.21642,0.22742428,550.0,-19.451328,0.45,2750.0,0.35000002
55,0.8208402,0.18899512,0.21659774,0.22738211,560.0,-16.045053,0.525,2800.0,0.33999997
56,0.8207097,0.18864445,0.21652657,0.22743095,570.0,-18.977917,0.475,2850.0,0.3525
57,0.82066154,0.18836562,0.21651794,0.22741364,580.0,-15.771801,0.58750004,2900.0,0.37
58,0.82068825,0.18829231,0.21656418,0.22737089,590.0,-17.676676,0.525,2950.0,0.3375
59,0.82056683,0.18858159,0.21646708,0.22750103,600.0,-20.452057,0.425,3000.0,0.35500002
60,0.8205466,0.18844874,0.21650197,0.22741868,610.0,-18.874474,0.5,3050.0,0.3675
61,0.8205963,0.18818611,0.21641637,0.22738741,620.0,-15.83617,0.57500005,3100.0,0.3725
62,0.8204903,0.18864857,0.21633214,0.22755471,630.0,-20.618443,0.45,3150.0,0.3425
63,0.82049316,0.18815084,0.21640854,0.22749594,640.0,-20.082012,0.4375,3200.0,0.3775
64,0.8203985,0.18869407,0.21638674,0.22753762,650.0,-15.221107,0.5875,3250.0,0.345
65,0.8202801,0.18963425,0.21633357,0.22767986,660.0,-16.40002,0.55,3300.0,0.3425
66,0.8201732,0.19052725,0.21617918,0.22786276,670.0,-17.216541,0.5,3350.0,0.33249998
67,0.81996506,0.19139355,0.21612139,0.22798103,680.0,-14.56994,0.575,3400.0,0.34750003
68,0.81980866,0.19182707,0.21603087,0.2280326,690.0,-19.513721,0.46250004,3450.0,0.32
69,0.81968874,0.19216223,0.21596609,0.22813815,700.0,-17.363853,0.53749996,3500.0,0.365
70,0.81968576,0.19208033,0.21605414,0.22813798,710.0,-16.646854,0.525,3550.0,0.3625
71,0.8196735,0.19174075,0.21601145,0.22804932,720.0,-20.769398,0.46249998,3600.0,0.32999998
72,0.81970733,0.19156353,0.21603242,0.22802004,730.0,-16.224817,0.58750004,3650.0,0.3625
73,0.8196478,0.19148378,0.21587974,0.22806571,740.0,-16.151663,0.57500005,3700.0,0.375
74,0.81958175,0.19128089,0.21583769,0.22801004,750.0,-16.97623,0.575,3750.0,0.39249998
75,0.8195545,0.19133635,0.21566336,0.22803967,760.0,-17.568506,0.5625,3800.0,0.375
76,0.81952566,0.19185285,0.21558236,0.22811602,770.0,-16.081419,0.55,3850.0,0.36
77,0.81939006,0.19206615,0.21548007,0.2282226,780.0,-20.78475,0.4375,3900.0,0.3575
78,0.8193802,0.19248624,0.215489,0.2282759,790.0,-19.080917,0.4875,3950.0,0.32
79,0.8192957,0.19230883,0.2155528,0.22828694,800.0,-17.277142,0.5625,4000.0,0.31
